		A		|		B
--------------------------------|--------------------------------
		65		|		18
		53		|		19
		93		|		35
		66		|		12
		67		|		13
		58		|		36
		89		|		10
		71		|		15
		57		|		6
		86		|		39
		72		|		29
		55		|		24
		97		|		5
		78		|		7
		98		|		11
		63		|		46
		85		|		21
		54		|		43
		64		|		25
		94		|		47
		83		|		16
		87		|		42
		56		|		44
		75		|		37
		73		|		50
		76		|		23
		80		|		9
		92		|		45
		74		|		8
		88		|		34
		100		|		26
		81		|		48
		96		|		38
		61		|		30
		52		|		17
		62		|		40
		51		|		32
		59		|		33
		91		|		14
		90		|		49
		99		|		28
		60		|		20
		70		|		27
		84		|		22
		82		|		1
		77		|		41
		95		|		31
		69		|		4
		68		|		3
		79		|		2
--------------------------------|--------------------------------
